index,nct_id,category_age
0,NCT00001159,[0-17]
0,NCT00001159,[18-65]
0,NCT00001159,[65 and more]
11,NCT00001277,[0-17]
11,NCT00001277,[18-65]
11,NCT00001277,[65 and more]
18,NCT00004048,[0-17]
18,NCT00004048,[18-65]
18,NCT00004048,[65 and more]
21,NCT00004074,[18-65]
21,NCT00004074,[65 and more]
25,NCT00004089,[0-17]
25,NCT00004089,[18-65]
25,NCT00004089,[65 and more]
26,NCT00004340,[0-17]
26,NCT00004340,[18-65]
30,NCT00004351,[0-17]
30,NCT00004351,[18-65]
30,NCT00004351,[65 and more]
33,NCT00004660,[18-65]
33,NCT00004660,[65 and more]
41,NCT00005102,[0-17]
41,NCT00005102,[18-65]
41,NCT00005102,[65 and more]
47,NCT00037193,[18-65]
47,NCT00037193,[65 and more]
55,NCT00037635,[18-65]
55,NCT00037635,[65 and more]
58,NCT00042432,[18-65]
58,NCT00042432,[65 and more]
61,NCT00042653,[18-65]
61,NCT00042653,[65 and more]
63,NCT00053547,[0-17]
63,NCT00053547,[18-65]
65,NCT00060242,[18-65]
65,NCT00060242,[65 and more]
66,NCT00061906,[18-65]
66,NCT00061906,[65 and more]
68,NCT00068497,[0-17]
68,NCT00068497,[18-65]
68,NCT00068497,[65 and more]
74,NCT00073710,[18-65]
74,NCT00073710,[65 and more]
76,NCT00077103,[18-65]
76,NCT00077103,[65 and more]
79,NCT00085293,[18-65]
79,NCT00085293,[65 and more]
84,NCT00094484,[18-65]
84,NCT00094484,[65 and more]
87,NCT00095693,[18-65]
87,NCT00095693,[65 and more]
91,NCT00095836,[18-65]
91,NCT00095836,[65 and more]
93,NCT00098813,[18-65]
93,NCT00098813,[65 and more]
96,NCT00098852,[18-65]
96,NCT00098852,[65 and more]
97,NCT00100828,[18-65]
97,NCT00100828,[65 and more]
98,NCT00103155,[18-65]
98,NCT00103155,[65 and more]
100,NCT00104871,[18-65]
100,NCT00104871,[65 and more]
102,NCT00105274,[18-65]
106,NCT00108394,[18-65]
106,NCT00108394,[65 and more]
108,NCT00110929,[18-65]
108,NCT00110929,[65 and more]
115,NCT00117052,[18-65]
115,NCT00117052,[65 and more]
116,NCT00118248,[18-65]
116,NCT00118248,[65 and more]
121,NCT00123461,[18-65]
121,NCT00123461,[65 and more]
127,NCT00132431,[18-65]
127,NCT00132431,[65 and more]
130,NCT00134043,[18-65]
130,NCT00134043,[65 and more]
135,NCT00135304,[18-65]
135,NCT00135304,[65 and more]
137,NCT00145366,[18-65]
137,NCT00145366,[65 and more]
140,NCT00147433,[0-17]
140,NCT00147433,[18-65]
140,NCT00147433,[65 and more]
142,NCT00150111,[18-65]
142,NCT00150111,[65 and more]
